File,Mean ZCR,Peak ZCR,Standard Deviation ZCR
Final_supported_file/output1.wav,0.06955502847434916,0.251953125,0.051877503041612386
Final_supported_file/output2.wav,0.08941441842255125,0.2080078125,0.0432539608796234
Final_supported_file/output3.wav,0.12451114832797897,0.443359375,0.10473871482708684
Final_supported_file/output4.wav,0.11506679918639054,0.3974609375,0.06787770432379049
Final_supported_file/output5.wav,0.07206221885223556,0.24609375,0.04999125015146799
Final_supported_file/output6.wav,0.0782308703271028,0.16943359375,0.03753359498129213
Final_supported_file/output7.wav,0.05510648022751896,0.443359375,0.06678624528926713
Final_supported_file/output8.wav,0.014574079949238579,0.384765625,0.041247212123622035
Final_supported_file/output9.wav,0.08622398621520343,0.439453125,0.07736081031031442
Final_supported_file/output10.wav,0.1419711014176663,0.26123046875,0.05900342271530808
Final_supported_file/output11.wav,0.10425042744447453,0.3017578125,0.06055884221154977
Final_supported_file/output12.wav,0.058454814710115134,0.251953125,0.042437374157452565
Final_supported_file/output13.wav,0.0871412116529304,0.3369140625,0.07200927051440871
Final_supported_file/output14.wav,0.0548699519874197,0.4306640625,0.07330063001144904
Final_supported_file/output15.wav,0.09962619416038751,0.4326171875,0.1027528920163892
Final_supported_file/output16.wav,0.1411053460184182,0.271484375,0.05753072893238819
Final_supported_file/output17.wav,0.07823177676537585,0.18896484375,0.03484570943011465
Final_supported_file/output18.wav,0.03341445401480638,0.3466796875,0.06380059080418096
Final_supported_file/output19.wav,0.056681045633278145,0.1064453125,0.01362265407341321
Final_supported_file/output20.wav,0.13644976467096337,0.24365234375,0.0440126483690684
Final_supported_file/output21.wav,0.02896194707606325,0.30322265625,0.05232894651256013
Final_supported_file/output22.wav,0.10207639771814775,0.22802734375,0.03054315012542442
Final_supported_file/output23.wav,0.16848983020720476,0.626953125,0.1279355346379463
Final_supported_file/output24.wav,0.0910567824011376,0.1845703125,0.03946040419050377
Final_supported_file/output25.wav,0.08877474865708479,0.45849609375,0.05787266176656235
Final_supported_file/output26.wav,0.08289262297755741,0.3623046875,0.07809842270396596
Final_supported_file/output27.wav,0.2815976520677195,0.4833984375,0.10637112014093772
Final_supported_file/output28.wav,0.05561891727493917,0.42822265625,0.06011322556474586
Final_supported_file/output29.wav,0.07879724081673843,0.25244140625,0.03613014228072197
Final_supported_file/output30.wav,0.0804203063484252,0.435546875,0.08099058613199665
Final_supported_file/output31.wav,0.03582492551462622,0.43017578125,0.054869718602314106
Final_supported_file/output32.wav,0.0759274698672806,0.236328125,0.04504629947643076
Final_supported_file/output33.wav,0.0674018265673676,0.3408203125,0.04889149209497448
Final_supported_file/output34.wav,0.07260491936084625,0.22998046875,0.05102869343013303
Final_supported_file/output35.wav,0.03306331572927879,0.4736328125,0.0770707592010162
Final_supported_file/output36.wav,0.10304250451686295,0.197265625,0.02971374089559223
Final_supported_file/output37.wav,0.1056133248952514,0.1826171875,0.04459166312624599
Final_supported_file/output38.wav,0.11108257315751445,0.505859375,0.08386114149157495
Final_supported_file/output39.wav,0.10531422396393972,0.35888671875,0.04939240328676204
Final_supported_file/output40.wav,0.06955502847434916,0.251953125,0.051877503041612386
Final_supported_file/output41.wav,0.049518214967284625,0.30712890625,0.050026908936668564
Final_supported_file/output42.wav,0.04751018385305139,0.1669921875,0.026058067223962
