mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,file
-410.319672405416,103.04133249122141,-8.62551450508247,-0.9318757270929771,6.432601501537081,-6.7256688837808785,6.0088715547532665,-0.3641133013019499,-16.193247576076217,-6.241446383787137,-0.17530719595449915,-4.374680633639073,-5.421873911267066,output1.wav
-419.312871157977,63.33773689602109,-36.34564038367197,-8.886245461505165,6.603016314176721,-9.542409141684413,-2.466130094878154,-7.751377330770197,-14.55633803694913,-4.873006725843617,-4.269200597759349,-3.2042421845712123,-0.7087350527226004,output10.wav
-557.1533821466998,38.523561579747835,-12.198321908372254,-1.3183413452372539,2.66093768213838,-6.086094128907328,-0.2893249732236906,-2.414176772412176,-7.668138463344729,-3.710156097498635,-3.3417800894853307,-3.117137160554435,-0.9827361466773362,output100.wav
-586.9521773473755,20.273726606589626,-2.9345203501880404,3.531919516079486,2.3646493927923617,-0.9025715773433799,3.341165433432562,-0.5438797027701296,-3.021357056231614,-1.0282813798326262,-3.223218024973064,-2.672794216182724,-1.500448719309875,output11.wav
-438.14385162315864,86.70328611272511,-9.786094362580974,2.0975571739809986,6.740280825996278,-11.409173564779266,-3.8937845373165696,-5.827946490734457,-13.921086176277162,-8.22471613575351,-5.7986514795812765,-1.888142871591536,1.0039458713000071,output12.wav
-341.93493141498294,92.07154791660516,-27.09000443478437,-10.565015716121561,11.937833074078574,-0.40039071196990833,-1.135895060588668,-1.7298249655667077,-3.3916780952465393,-2.3475250777816443,-3.423907289603027,-1.0861831152722372,0.9768257903776081,output13.wav
-467.02244844513547,59.36571309725584,7.432854930509958,-7.808170752751292,-10.26884379725849,-13.171919187650593,-7.419237398322444,-2.2871425257756495,-1.7134051632250293,-0.6856349251430289,0.9336506753340772,4.003791193010044,3.983447638387668,output14.wav
-534.2152213164343,35.35703676444136,-21.993856794627675,11.197460197035763,13.30004701349655,-10.660112345567603,-3.7711406875314286,-4.275766977516707,-8.22018372681134,1.5173043721463642,0.9893752451227044,-3.9830162354385528,-4.041707862378725,output15.wav
-551.0911917851308,34.476273927935424,-5.314307008465404,-7.178909202605068,1.4856750038409396,1.5542698855475148,0.1528943237407564,-2.6743681310643166,-3.140978734367049,-0.11343694822509522,0.09245747414384956,-0.8004959907553475,-0.38240192500356657,output16.wav
-327.9355233334365,149.5227727639676,-59.46225603595147,-19.53007917725366,4.268795449357448,-21.387066105426758,0.6416293103147076,-3.4163260556473096,-15.540171246306524,-8.46211439642264,-16.314109530663377,-8.726765767192225,1.9414028222584914,output17.wav
-500.46993157293053,25.83460439453236,-3.802458261978105,0.3027731601342873,1.8743976598744867,-3.1324773742653425,0.845344145503612,0.9273102202328947,-3.1671811821108773,-2.919069998536104,-2.2283554631011686,-1.8816833359334257,-2.607812380012438,output18.wav
-631.7903491648068,24.93480902618954,7.610766392692487,-0.6903291694094911,-0.7508117451171992,-1.4474016167198835,-2.9583387552223965,-1.9471145486268369,-0.731196543586787,-1.6211960890999377,-2.222372889342004,-1.413750597872903,-1.30194346558387,output19.wav
-351.2138313417688,108.41881486881347,-26.995208956065863,0.27994833680169845,4.529624392460431,-17.988832542980692,6.246995534084568,0.8862180626318262,-18.825766238296396,-9.940424584217025,-9.919389288149981,-9.706362690604367,-5.660098756425769,output2.wav
-440.21338436394916,65.1755868643662,-41.652562671077554,-0.7672105218992087,6.986462373986248,-14.073765487580298,1.8591525558611317,-3.887969228123163,-12.441184419006998,-4.48825859957153,-4.81728834793273,0.9343455981101494,-0.9818412081085325,output20.wav
-505.6894974707225,37.7216068952093,-8.493951307080556,1.9075964078089025,0.5007142957062919,-9.56538623160953,-2.3998288211673073,-3.0169063453725533,-5.543057965220843,-3.4198333195555617,-6.371794873525359,-3.7572155780814787,-0.19496824200207552,output21.wav
-502.6997458396589,34.83002920633075,-17.081169537353954,0.8030713313638802,3.649867769301152,-9.539556060114545,-0.9780943644996816,0.3812003051623349,-5.9081358847372085,-2.236610278773855,-0.6907740840733498,-3.1899490434564544,-2.5835230024446463,output22.wav
-505.0714736394678,41.62449764709194,-6.617148884445287,-1.0421618411693918,2.883923861158273,-6.039388901253104,-4.6017122013781,-5.802552845428243,-7.737929422888174,-4.411637582194483,-5.5521990444910445,-6.0181073154798765,-4.044669256756978,output23.wav
