mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,file
-410.319672405416,103.0413324912214,-8.62551450508247,-0.9318757270929772,6.432601501537081,-6.725668883780879,6.0088715547532665,-0.3641133013019499,-16.193247576076217,-6.241446383787137,-0.1753071959544991,-4.374680633639073,-5.421873911267066,1.2622198675064569e-15,-3.481985841397122e-16,8.704964603492805e-17,-1.632180863154901e-17,-1.496165791225326e-17,3.808422014028102e-17,-8.160904315774505e-18,2.7203014385915016e-18,4.3524823017464025e-17,1.904211007014051e-17,-4.080452157887253e-18,2.1762411508732013e-17,8.160904315774505e-18,output1.wav
-351.2138313417688,108.41881486881348,-26.995208956065863,0.2799483368016984,4.529624392460431,-17.988832542980692,6.246995534084568,0.8862180626318262,-18.8257662382964,-9.940424584217023,-9.91938928814998,-9.706362690604369,-5.660098756425769,-0.1424141176623378,-0.081585102569626,0.0399661775692557,-0.0044051521001044,-0.0202486925338306,0.0185107308105784,0.0075943444477282,0.0004976368418033,0.0147314942286616,0.0087933390385381,0.0082741662833874,0.0121467778873624,0.0027258617634034,output2.wav
-368.52669322027896,96.90108030936248,-24.727420150992675,-6.881467669758171,-4.419534998903325,-18.957949063318637,-1.158352529615613,4.770411138893263,2.686633769135145,-2.4346527328628302,-10.933123779414018,-4.597530352381523,1.6784493999093062,0.0177594071776776,0.0157028783960858,0.0032774887021466,0.0031472122429493,0.0106597576920002,0.0223580881906836,0.026113106378309,0.0068989150361134,-0.0139383906058099,-0.0083185710911735,0.0078179838218046,0.0097526884574076,0.0017440394041493,output3.wav
-457.1923715925341,78.53047167854433,-28.17269087632652,-4.560484699031046,4.905005458384118,-13.388838984359854,-2.1585479786508484,-6.5428571449534845,-12.617588773417785,-1.5326469511444814,-7.938597975012888,-9.28588912072622,2.265211105303328,8.408789772308877e-16,-3.363515908923551e-16,1.2613184658463315e-16,-4.729944246923744e-17,2.1021974430772197e-17,8.408789772308878e-17,1.576648082307915e-17,1.576648082307915e-17,4.204394886154439e-17,1.0510987215386097e-17,0.0,2.1021974430772197e-17,-1.576648082307915e-17,output4.wav
-390.5082515327455,81.85696203700928,-14.504118762795567,-6.520980872972562,0.2631487434858221,-16.43116039835554,-9.096437912804646,-6.828396191748318,-15.139173387933733,-13.84044856867854,-10.326209601749232,-5.448750375014032,-3.466270236615093,0.0236239923992341,0.0286993094811721,0.0070520225339686,-0.0144753403611829,-0.0100255644936324,-0.0009160447469664,-0.0004766175678521,0.0035116816179085,0.001338198510123,-0.0098281605762333,-0.0150796437276835,-0.0131027718949647,-0.0050415114391482,output5.wav
-498.623136432139,33.48079487081838,-1.2279156088591574,1.870452002134147,6.524484049962394,-0.6480804541110815,-0.4632883865855108,-0.0542164396093627,-4.575707485355873,-4.647350324510716,-2.9951100373400195,-2.9846502134671,-2.357325073117471,0.0405179204110517,0.053327496223391,0.0425941298332935,0.0282060158958056,0.0140235673206896,0.0033050244445003,-0.002285824558745,-0.0029614985877682,-0.0003814585913903,0.0031987909276904,0.0058006915321305,0.006300491603387,0.0045835262066929,output6.wav
-524.4376542585123,43.36606952439408,-15.461412416544396,1.0249890960085433,5.540918159878571,-8.919545218224703,-1.9982123449918008,-2.139639212581988,-8.265109733898,-2.134810144160617,-0.5280767518278873,-1.9973152752601675,-0.3047332044733837,-0.0223347770367276,-0.0072806364133634,0.0151632965340553,0.0037690849522218,0.0022329927613476,0.0071973085775622,-0.0054883856893903,-0.0086943309814447,2.186328030745591e-05,-0.0050788950844628,-0.0105796208966414,-0.0057406047137771,-0.0049601661949593,output7.wav
-494.3672635985145,23.585201103081523,-4.186115794234645,2.865601131509184,-0.2579190997363043,-8.757350763663691,-0.7274014991264358,0.9189724268484896,-3.818635431338515,-0.9075070610043776,-0.4942793193068205,-2.948619200973148,-2.4739837420501227,0.0844307324111153,0.0945208297874453,0.0396954677871351,-0.0048162076478889,-0.0156750931548119,-0.0036131064489783,0.0043847302645054,-0.0047936974308513,-0.0203885638667048,-0.0245785268745994,-0.0134875830725688,0.000755642438364,0.0054305715646112,output8.wav
-420.3371699603994,63.395822411309055,-9.27775427240802,3.1370090185391604,12.295184426009492,-5.845213803273538,-3.998532002428384,-1.062747332097015,-7.900373462867428,-5.105608155609443,-1.7844202800303794,-2.9909447767423067,-1.090368039179741,0.0020009155686707,0.001193624323612,-0.0018202331819616,-0.0027250969751564,-0.0004811385905246,0.002308317370067,0.0024212775459819,-0.0002565646503348,-0.0026189340572501,-0.0019472134229561,0.0009574527323711,0.0027308416338443,0.001347272532628,output9.wav
-419.312871157977,63.33773689602109,-36.34564038367197,-8.886245461505165,6.603016314176721,-9.542409141684413,-2.466130094878154,-7.751377330770197,-14.55633803694913,-4.873006725843617,-4.269200597759349,-3.2042421845712123,-0.7087350527226004,1.275606301793964e-15,-2.2664531102489563e-16,1.0460552816533643e-16,2.5182812336099518e-17,-1.186497888912381e-17,9.68569705234597e-18,7.748557641876774e-18,1.6949969841605444e-17,6.126203385608825e-17,1.2349263741741108e-17,1.4891759217981925e-17,5.2060621656359576e-18,-3.874278820938387e-18,output10.wav
-586.9521773473755,20.273726606589623,-2.9345203501880404,3.531919516079486,2.3646493927923617,-0.90257157734338,3.341165433432562,-0.5438797027701296,-3.021357056231614,-1.0282813798326262,-3.223218024973064,-2.672794216182724,-1.500448719309875,0.0061327008111648,0.0080554225122831,0.0061629624404347,0.0032460831048952,0.0002208972693918,-0.0018673968557568,-0.0027270987716027,-0.0028286408525712,-0.0026348877685955,-0.0022748337419579,-0.0019864272789433,-0.0023032490756105,-0.003447310723047,output11.wav
