File Name,Mean Spectral Centroid,Std Dev Spectral Centroid,Max Spectral Centroid,Min Spectral Centroid
output1.wav,2241.64901379225,1407.1886447896063,16535.93765363854,0.0
output2.wav,2554.3665285901006,888.3434047113799,7129.317871097826,472.1524768117511
output3.wav,3920.614451495932,2246.778404375793,10313.648456490118,0.0
output4.wav,3274.4788695729967,1691.0158480079142,16911.326716196854,0.0
output5.wav,2167.7192184432797,1002.8189202592026,5213.813999872335,532.2336775224477
output6.wav,2831.335614849613,783.0309577223583,5530.465792980355,0.0
output7.wav,1833.5683055064949,2121.205998483208,16477.137718899925,0.0
output8.wav,556.2199261664813,1556.1645865885064,17078.693229653363,0.0
output9.wav,2683.149960275094,1556.366160231178,10684.288239656931,359.6891388896195
output10.wav,4076.022362136497,1591.6480444681624,6538.767934627485,0.0
output11.wav,4366.343119613816,1288.2503173859932,6980.456634402539,0.0
output12.wav,2366.0712537451595,1382.2259064711252,16535.93765363854,0.0
output13.wav,3777.2170975199433,2079.376891385118,9507.22813529496,233.44330186965183
output14.wav,1737.3784246502423,1746.7150664130816,10312.002221473069,0.0
output15.wav,2924.432477390322,3087.314995962678,17355.856962814043,0.0
output16.wav,4473.07306629718,1653.4453999018426,6555.359909884203,0.0
output17.wav,2208.4418029445037,638.6037384612231,3898.218979743336,519.2742232121035
output18.wav,1341.0331748847243,2322.284599285397,17554.723841542844,0.0
output19.wav,2901.363182796389,621.8385117559244,3799.632076522892,681.7298032309711
output20.wav,3296.279509067408,657.1997055597578,5419.398485085634,1322.8413329920402
output21.wav,884.3127620927156,1467.6729895986507,11381.31285852238,0.0
output22.wav,4276.248798796833,950.662008329254,7614.587878808072,1860.1074516356289
output23.wav,4259.214783471188,2272.3003052276536,15736.386756123622,0.0
output24.wav,4175.959666794667,1095.03595421744,8495.495056614647,243.65877858685
output25.wav,3532.123092180753,1842.63795093566,10344.439170351015,0.0
output26.wav,2395.107479038731,1803.031526663057,7954.307781251229,250.89876606805507
output27.wav,8292.850930182409,1909.0264602856291,11102.250350571145,2077.018590371872
output28.wav,1801.161990548936,1956.9050046300576,16802.23431669493,0.0
output29.wav,3314.646040393672,1153.4427390026028,16535.93765363854,0.0
output30.wav,3066.513339434688,1723.3718635737218,10365.96545322828,0.0
output31.wav,1207.2567169555227,1382.5060048686082,7381.24062359652,0.0
output32.wav,2958.4291102600164,1354.686993008889,7260.829100523145,0.0
output33.wav,3141.477806496642,1304.2109931060008,8363.06717252813,0.0
output34.wav,2858.072932344927,1575.190879255082,7662.944875060533,364.9106582944104
output35.wav,1106.109653833079,2484.766564497341,17376.45179460709,0.0
output36.wav,3790.648952402769,898.0062146475344,8665.125459896306,864.0640085778526
output37.wav,3450.371703321107,1517.3001270506936,8733.151346006345,0.0
output38.wav,3842.131785286293,1757.533645489115,13364.923363877928,0.0
output39.wav,3109.785793919971,1051.4239615433155,16416.931793829437,0.0
output40.wav,2241.64901379225,1407.1886447896063,16535.93765363854,0.0
output41.wav,1676.7168431513255,1636.6367957525042,17169.98415788344,0.0
output42.wav,1834.3735203758583,696.2947494917242,9701.396576545843,0.0
output43.wav,4686.67914868078,813.3336436650455,6593.091226904901,1232.9223142746469
output44.wav,2031.058060135938,973.2632774969658,5784.971572743809,0.0
output45.wav,2728.771219646529,2764.628646195747,17238.914948856058,0.0
output46.wav,1551.992282786788,3158.4669535719827,17315.191118689763,0.0
output47.wav,2884.0011500214405,924.4518251812884,13208.423619983168,688.5131294089699
output48.wav,4027.307926518744,2411.934383314578,12828.885655784592,0.0
output49.wav,3083.985650843333,1138.6342636372892,5784.491613377842,0.0
output50.wav,3941.240679489693,1640.9271139534726,10367.509445081458,0.0
